Location,county,IndexYear,Population,Total,Rate,PrsnTotal,PrsnRate,Murder,Manslaughter,Forcible_Sex,Assault,Non_Forcible_Sex,Kidnapping_Abduction,Human_Trafficking,Viol_Of_No_Contact,PrprtyTotal,PrprtyRate,Arson,Bribery,Burglary,Counterfeiting_Forgery,Destruction_of_Property,Extortion_Blackmail,Robbery,Theft,SctyTotal,SctyRate,Drug_Violations,Gambling_Violations,Pornography,Prostitution,Weapon_Law_Violation,Animal_Cruelty
Adams County Sheriffs Office,ADAMS,2012,9860.0,620,62.9,145,14.70588235,0,0,16,88,0,0,0,41.0,404,40.97363083,2,0,84,1,100,0,2,215.0,71,7.200811359,34,0,0,0,37,0
Adams County Sheriffs Office,ADAMS,2013,9935.0,693,69.8,130,13.08505284,2,0,22,86,0,2,0,18.0,501,50.42778057,4,0,120,0,137,1,1,238.0,62,6.240563664,24,0,0,1,37,0
Adams County Sheriffs Office,ADAMS,2014,10025.0,688,68.6,165,16.45885287,1,0,11,117,0,1,0,35.0,480,47.88029925,10,0,120,2,144,1,1,202.0,43,4.289276808,28,0,0,0,15,0
Adams County Sheriffs Office,ADAMS,2015,9960.0,685,68.8,139,13.9558233,0,0,16,89,2,0,0,32.0,491,49.2971888,5,0,117,1,128,0,6,234.0,55,5.5220884,33,0,0,0,22,0
Adams County Sheriffs Office,ADAMS,2016,9975.0,571,57.2,166,16.64160401,1,0,13,118,2,1,0,31.0,339,33.98496241,0,0,83,1,107,0,3,145.0,66,6.616541353,49,0,0,0,17,0
Adams County Sheriffs Office,ADAMS,2017,10035.0,498,49.6,133,13.25361236,1,0,16,93,1,1,0,21.0,272,27.10513204,1,0,50,2,84,0,3,132.0,93,9.267563528,71,0,1,0,21,0
Adams County Sheriffs Office,ADAMS,2018,10090.0,456,45.2,142,14.07333994,0,0,12,104,1,1,0,24.0,271,26.85827552,0,0,60,1,105,0,2,103.0,43,4.261645193,26,0,0,0,17,0
Adams County Sheriffs Office,ADAMS,2019,10145.0,389,38.3,118,11.63134549,0,0,7,99,0,1,0,11.0,196,19.319862,3,0,39,1,58,0,0,95.0,75,7.392804337,66,0,0,0,9,0
Adams County Sheriffs Office,ADAMS,2020,10275.0,438,42.6,129,12.55474453,0,0,17,97,0,1,0,14.0,264,25.69343066,3,0,48,0,75,0,1,137.0,45,4.379562044,35,0,0,0,10,0
Adams County Sheriffs Office,ADAMS,2021,10410.0,677,65.0,181,17.38712776,2,0,19,134,0,4,0,22.0,468,44.95677233,1,0,73,2,125,4,4,259.0,28,2.689721422,20,0,2,0,6,0
COUNTY TOTAL,ADAMS,2012,19050.0,1915,100.5,346,18.2,0,0,19,252,1,3,0,71.0,1417,74.4,10,0,182,12,516,0,8,689.0,152,8,90,0,0,1,61,0
COUNTY TOTAL,ADAMS,2013,19200.0,1971,102.7,376,19.6,3,0,26,281,2,6,0,58.0,1472,76.7,7,0,199,25,551,1,8,681.0,123,6.4,67,0,0,2,54,0
COUNTY TOTAL,ADAMS,2014,19400.0,1960,101.0,434,22.4,1,0,19,314,1,3,0,96.0,1402,72.3,10,0,190,28,523,1,8,642.0,124,6.4,88,0,1,0,35,0
COUNTY TOTAL,ADAMS,2015,19410.0,1607,82.8,352,18.1,0,0,26,256,3,6,0,61.0,1128,58.1,8,0,189,17,326,0,11,577.0,127,6.5,93,0,0,0,34,0
COUNTY TOTAL,ADAMS,2016,19510.0,1398,71.7,373,19.1,1,0,18,280,2,2,0,70.0,876,44.9,1,0,144,6,255,0,8,462.0,149,7.6,116,0,1,1,31,0
COUNTY TOTAL,ADAMS,2017,19870.0,1323,66.6,334,16.8,1,0,29,226,4,2,0,72.0,819,41.2,5,0,128,11,300,0,4,371.0,170,8.6,139,0,1,0,30,0
COUNTY TOTAL,ADAMS,2018,20020.0,1217,60.8,335,16.7,0,0,23,248,1,2,0,61.0,751,37.5,1,0,124,15,260,0,2,349.0,131,6.5,96,0,2,0,33,0
COUNTY TOTAL,ADAMS,2019,20150.0,1034,51.3,287,14.2,0,0,20,225,0,1,0,41.0,577,28.6,4,0,89,10,182,0,1,291.0,170,8.4,145,0,2,0,23,0
COUNTY TOTAL,ADAMS,2020,20457.0,1091,53.3,253,12.4,1,0,23,193,0,1,0,35.0,744,36.4,3,0,95,4,296,0,3,343.0,94,4.6,76,0,0,0,18,0
COUNTY TOTAL,ADAMS,2021,20800.0,1469,70.6,332,16,3,0,33,244,2,5,0,45.0,1067,51.3,1,0,124,12,479,4,6,441.0,70,3.4,47,0,3,3,17,0
Othello Police Department,ADAMS,2012,7495.0,1168,155.8,175,23.34889927,0,0,1,149,1,2,0,22.0,921,122.8819213,8,0,76,10,398,0,5,424.0,72,9.60640427,49,0,0,1,22,0
Othello Police Department,ADAMS,2013,7565.0,1142,151.0,213,28.15598149,1,0,3,168,2,4,0,35.0,874,115.5320555,2,0,62,25,398,0,7,380.0,55,7.27032386,37,0,0,1,17,0
Othello Police Department,ADAMS,2014,7695.0,1161,150.9,241,31.31903834,0,0,7,178,1,2,0,53.0,842,109.4217024,0,0,55,26,368,0,7,386.0,78,10.13645224,57,0,1,0,20,0
Othello Police Department,ADAMS,2015,7780.0,757,97.3,175,22.4935733,0,0,7,137,1,4,0,26.0,520,66.8380463,3,0,55,9,180,0,5,268.0,62,7.9691517,53,0,0,0,9,0
Othello Police Department,ADAMS,2016,7875.0,649,82.4,185,23.49206349,0,0,5,143,0,1,0,36.0,387,49.14285714,1,0,40,4,123,0,5,214.0,77,9.777777778,63,0,1,1,12,0
Othello Police Department,ADAMS,2017,8175.0,623,76.2,163,19.93883792,0,0,10,106,3,0,0,44.0,388,47.4617737,3,0,37,6,184,0,1,157.0,72,8.80733945,63,0,0,0,9,0
Othello Police Department,ADAMS,2018,8270.0,570,68.9,150,18.13784764,0,0,8,111,0,1,0,30.0,339,40.99153567,0,0,32,12,125,0,0,170.0,81,9.794437727,63,0,2,0,16,0
Othello Police Department,ADAMS,2019,8345.0,521,62.4,139,16.65668065,0,0,10,104,0,0,0,25.0,294,35.23067705,1,0,31,7,109,0,1,145.0,88,10.54523667,72,0,2,0,14,0
Othello Police Department,ADAMS,2020,8515.0,516,60.6,92,10.80446271,0,0,4,69,0,0,0,19.0,376,44.15736935,0,0,29,4,207,0,2,134.0,48,5.637110981,40,0,0,0,8,0
Othello Police Department,ADAMS,2021,8715.0,639,73.3,134,15.37578887,1,0,12,100,2,1,0,18.0,468,53.70051635,0,0,20,4,337,0,2,105.0,37,4.245553643,24,0,1,3,9,0
Ritzville Police Department,ADAMS,2012,1695.0,127,74.9,26,15.33923304,0,0,2,15,0,1,0,8.0,92,54.27728614,0,0,22,1,18,0,1,50.0,9,5.309734513,7,0,0,0,2,0
Ritzville Police Department,ADAMS,2013,1700.0,136,80.0,33,19.41176471,0,0,1,27,0,0,0,5.0,97,57.05882353,1,0,17,0,16,0,0,63.0,6,3.529411765,6,0,0,0,0,0
Ritzville Police Department,ADAMS,2014,1680.0,111,66.1,28,16.66666667,0,0,1,19,0,0,0,8.0,80,47.61904762,0,0,15,0,11,0,0,54.0,3,1.785714286,3,0,0,0,0,0
Ritzville Police Department,ADAMS,2015,1670.0,165,98.8,38,22.754491,0,0,3,30,0,2,0,3.0,117,70.0598802,0,0,17,7,18,0,0,75.0,10,5.988024,7,0,0,0,3,0
Ritzville Police Department,ADAMS,2016,1660.0,178,107.2,22,13.25301205,0,0,0,19,0,0,0,3.0,150,90.36144578,0,0,21,1,25,0,0,103.0,6,3.614457831,4,0,0,0,2,0
Ritzville Police Department,ADAMS,2017,1660.0,202,121.7,38,22.89156627,0,0,3,27,0,1,0,7.0,159,95.78313253,1,0,41,3,32,0,0,82.0,5,3.012048193,5,0,0,0,0,0
Ritzville Police Department,ADAMS,2018,1660.0,191,115.1,43,25.90361446,0,0,3,33,0,0,0,7.0,141,84.93975904,1,0,32,2,30,0,0,76.0,7,4.21686747,7,0,0,0,0,0
Ritzville Police Department,ADAMS,2019,1660.0,124,74.7,30,18.07228916,0,0,3,22,0,0,0,5.0,87,52.40963855,0,0,19,2,15,0,0,51.0,7,4.21686747,7,0,0,0,0,0
Ritzville Police Department,ADAMS,2020,1667.0,137,82.2,32,19.19616077,1,0,2,27,0,0,0,2.0,104,62.3875225,0,0,18,0,14,0,0,72.0,1,0.599880024,1,0,0,0,0,0
Ritzville Police Department,ADAMS,2021,1675.0,153,91.3,17,10.14925373,0,0,2,10,0,0,0,5.0,131,78.20895522,0,0,31,6,17,0,0,77.0,5,2.985074627,3,0,0,0,2,0
Asotin County Sheriffs Office,ASOTIN,2012,13240.0,453,34.2,121,9.13897281,0,1,7,112,1,0,0,0.0,285,21.52567976,0,0,49,2,73,0,1,160.0,47,3.549848943,42,0,0,0,5,0
Asotin County Sheriffs Office,ASOTIN,2013,13325.0,457,34.3,116,8.705440901,0,0,2,109,1,4,0,0.0,296,22.21388368,0,0,46,0,100,0,3,147.0,45,3.377110694,35,0,0,0,10,0
Asotin County Sheriffs Office,ASOTIN,2014,13460.0,414,30.8,97,7.20653789,0,0,4,93,0,0,0,0.0,291,21.61961367,0,0,51,2,96,0,0,142.0,26,1.931649331,25,0,0,0,1,0
Asotin County Sheriffs Office,ASOTIN,2015,13515.0,378,28.0,97,7.1772105,0,0,7,90,0,0,0,0.0,256,18.9419164,0,0,29,1,103,0,3,120.0,25,1.8497965,22,0,1,0,2,0
Asotin County Sheriffs Office,ASOTIN,2016,13620.0,356,26.1,105,7.709251101,0,0,7,98,0,0,0,0.0,245,17.98825257,1,0,36,2,60,0,0,146.0,6,0.440528634,4,0,0,0,2,0
Asotin County Sheriffs Office,ASOTIN,2017,13765.0,391,28.4,108,7.845986197,0,0,3,102,1,2,0,0.0,224,16.27315656,0,0,34,0,67,0,2,121.0,59,4.2862332,49,0,1,0,9,0
Asotin County Sheriffs Office,ASOTIN,2018,13940.0,333,23.9,100,7.173601148,0,1,3,80,0,1,0,15.0,183,13.1276901,0,0,28,0,41,0,2,112.0,50,3.586800574,43,0,1,0,6,0
Asotin County Sheriffs Office,ASOTIN,2019,14035.0,435,31.0,140,9.975062344,1,0,5,109,0,0,0,25.0,243,17.31385821,0,0,36,3,54,0,0,150.0,52,3.705023156,39,0,1,0,12,0
Asotin County Sheriffs Office,ASOTIN,2020,14135.0,415,29.4,142,10.04598514,0,0,7,101,0,0,0,34.0,233,16.4839052,0,0,58,1,57,0,1,116.0,40,2.82985497,31,0,1,0,8,0
Asotin County Sheriffs Office,ASOTIN,2021,14395.0,420,29.2,139,9.656130601,0,0,9,91,0,0,0,39.0,249,17.2976728,0,0,34,0,88,0,1,126.0,32,2.222994095,22,0,0,0,10,0
Asotin Police Department,ASOTIN,2012,1255.0,59,47.0,29,23.10756972,0,0,0,17,0,0,0,12.0,27,21.51394422,0,0,5,0,10,0,0,12.0,3,2.390438247,3,0,0,0,0,0
Asotin Police Department,ASOTIN,2013,1265.0,46,36.4,13,10.27667984,0,0,1,12,0,0,0,0.0,31,24.50592885,0,0,2,0,3,0,0,26.0,2,1.581027668,1,0,0,0,1,0
Asotin Police Department,ASOTIN,2014,1265.0,43,34.0,13,10.27667984,0,0,1,12,0,0,0,0.0,28,22.13438735,0,0,2,0,7,0,0,19.0,2,1.581027668,1,0,0,0,1,0
Asotin Police Department,ASOTIN,2015,1260.0,58,46.0,24,19.047619,0,0,1,23,0,0,0,0.0,32,25.3968254,0,0,0,0,8,0,0,24.0,2,1.5873016,2,0,0,0,0,0
Asotin Police Department,ASOTIN,2016,1270.0,51,40.2,13,10.23622047,0,0,0,13,0,0,0,0.0,34,26.77165354,0,0,6,0,10,0,0,18.0,4,3.149606299,4,0,0,0,0,0
Asotin Police Department,ASOTIN,2017,1275.0,24,18.8,7,5.490196078,0,0,1,6,0,0,0,0.0,17,13.33333333,0,0,2,0,6,0,0,9.0,0,0,0,0,0,0,0,0
Asotin Police Department,ASOTIN,2018,1275.0,12,9.4,0,0,0,0,0,0,0,0,0,0.0,12,9.411764706,0,0,1,0,5,0,0,6.0,0,0,0,0,0,0,0,0
Asotin Police Department,ASOTIN,2019,1280.0,23,18.0,5,3.90625,0,0,1,0,0,0,0,4.0,18,14.0625,0,0,0,0,3,0,0,15.0,0,0,0,0,0,0,0,0
Asotin Police Department,ASOTIN,2020,1285.0,31,24.1,13,10.11673152,0,0,0,11,0,0,0,2.0,17,13.22957198,0,0,1,0,6,0,0,10.0,1,0.778210117,1,0,0,0,0,0
Asotin Police Department,ASOTIN,2021,1305.0,8,6.1,2,1.53256705,0,0,0,1,0,0,0,1.0,5,3.831417625,0,0,0,0,2,0,0,3.0,1,0.766283525,0,0,0,0,1,0
COUNTY TOTAL,ASOTIN,2012,21700.0,1437,66.2,286,13.2,0,1,8,264,1,0,0,12.0,974,44.9,1,0,91,7,213,0,6,656.0,177,8.2,152,0,0,0,25,0
COUNTY TOTAL,ASOTIN,2013,21800.0,1491,68.4,278,12.8,0,0,5,267,1,5,0,0.0,1082,49.6,1,0,130,6,261,0,12,672.0,131,6,97,0,1,0,33,0
COUNTY TOTAL,ASOTIN,2014,21950.0,1309,59.6,273,12.4,1,0,10,262,0,0,0,0.0,958,43.6,4,1,134,9,246,0,5,559.0,78,3.6,65,0,0,1,12,0
COUNTY TOTAL,ASOTIN,2015,22010.0,1442,65.5,290,13.2,2,0,14,273,0,1,0,0.0,1081,49.1,4,0,86,4,276,0,11,700.0,71,3.2,55,0,2,0,14,0
COUNTY TOTAL,ASOTIN,2016,22150.0,1439,65.0,306,13.8,1,0,16,284,4,1,0,0.0,1081,48.8,2,0,114,7,252,0,2,704.0,52,2.3,39,0,1,0,12,0
COUNTY TOTAL,ASOTIN,2017,22290.0,1021,45.8,221,9.9,0,0,12,205,2,2,0,0.0,683,30.6,0,0,86,1,161,0,7,428.0,117,5.2,87,0,3,0,27,0
COUNTY TOTAL,ASOTIN,2018,22420.0,1134,50.6,284,12.7,0,1,12,230,1,2,0,38.0,722,32.2,2,0,100,4,184,0,6,426.0,128,5.7,101,0,6,0,21,0
COUNTY TOTAL,ASOTIN,2019,22520.0,1324,58.8,367,16.3,1,0,16,282,3,1,0,64.0,854,37.9,0,0,101,8,212,0,4,529.0,103,4.6,76,0,2,0,24,1
COUNTY TOTAL,ASOTIN,2020,22640.0,884,39.0,256,11.3,0,0,13,183,0,0,0,60.0,557,24.6,0,0,92,3,150,1,2,309.0,71,3.1,50,0,2,0,19,0
COUNTY TOTAL,ASOTIN,2021,23000.0,1116,48.5,306,13.3,1,0,19,205,0,1,0,80.0,750,32.6,9,0,83,6,243,0,7,402.0,60,2.6,34,0,2,0,24,0
Clarkston Police Department,ASOTIN,2012,7205.0,925,128.4,136,18.87578071,0,0,1,135,0,0,0,0.0,662,91.88063845,1,0,37,5,130,0,5,484.0,127,17.62664816,107,0,0,0,20,0
Clarkston Police Department,ASOTIN,2013,7210.0,988,137.0,149,20.66574202,0,0,2,146,0,1,0,0.0,755,104.7156727,1,0,82,6,158,0,9,499.0,84,11.65048544,61,0,1,0,22,0
Clarkston Police Department,ASOTIN,2014,7225.0,852,117.9,163,22.56055363,1,0,5,157,0,0,0,0.0,639,88.44290657,4,1,81,7,143,0,5,398.0,50,6.920415225,39,0,0,1,10,0
Clarkston Police Department,ASOTIN,2015,7235.0,1006,139.0,169,23.3586731,2,0,6,160,0,1,0,0.0,793,109.6060815,4,0,57,3,165,0,8,556.0,44,6.081548,31,0,1,0,12,0
Clarkston Police Department,ASOTIN,2016,7260.0,1032,142.1,188,25.8953168,1,0,9,173,4,1,0,0.0,802,110.4683196,1,0,72,5,182,0,2,540.0,42,5.785123967,31,0,1,0,10,0
Clarkston Police Department,ASOTIN,2017,7250.0,606,83.6,106,14.62068966,0,0,8,97,1,0,0,0.0,442,60.96551724,0,0,50,1,88,0,5,298.0,58,8,38,0,2,0,18,0
Clarkston Police Department,ASOTIN,2018,7205.0,789,109.5,184,25.53782096,0,0,9,150,1,1,0,23.0,527,73.14365024,2,0,71,4,138,0,4,308.0,78,10.82581541,58,0,5,0,15,0
Clarkston Police Department,ASOTIN,2019,7205.0,866,120.2,222,30.81193616,0,0,10,173,3,1,0,35.0,593,82.30395559,0,0,65,5,155,0,4,364.0,51,7.078417765,37,0,1,0,12,1
Clarkston Police Department,ASOTIN,2020,7220.0,438,60.7,101,13.98891967,0,0,6,71,0,0,0,24.0,307,42.52077562,0,0,33,2,87,1,1,183.0,30,4.155124654,18,0,1,0,11,0
Clarkston Police Department,ASOTIN,2021,7300.0,688,94.2,165,22.60273973,1,0,10,113,0,1,0,40.0,496,67.94520548,9,0,49,6,153,0,6,273.0,27,3.698630137,12,0,2,0,13,0
Benton County Sheriffs Office,BENTON,2012,36595.0,1757,48.0,521,14.23691761,0,3,42,364,3,6,0,103.0,914,24.97608963,4,0,159,9,228,0,5,509.0,322,8.799016259,284,0,4,0,34,0
Benton County Sheriffs Office,BENTON,2013,36950.0,1702,46.1,589,15.94046008,2,2,25,471,3,4,0,82.0,867,23.46414073,2,1,150,10,241,0,5,458.0,246,6.657645467,214,0,1,0,31,0
Benton County Sheriffs Office,BENTON,2014,37275.0,1429,38.3,452,12.12608987,4,0,28,334,4,3,0,79.0,784,21.03286385,7,0,186,5,186,0,4,396.0,193,5.177733065,169,0,4,0,20,0
Benton County Sheriffs Office,BENTON,2015,37415.0,1557,41.6,613,16.3838033,0,0,38,458,0,9,1,107.0,731,19.5376186,2,0,112,8,211,2,5,391.0,213,5.6929039,187,0,4,1,21,0
Benton County Sheriffs Office,BENTON,2016,37690.0,1588,42.1,475,12.60281242,1,1,35,354,1,5,0,78.0,899,23.85248076,6,0,172,8,249,0,6,458.0,214,5.677898647,184,0,5,1,24,0
Benton County Sheriffs Office,BENTON,2017,38445.0,1659,43.2,595,15.47665496,0,0,29,432,1,5,0,128.0,871,22.65574197,3,0,139,10,298,0,3,418.0,193,5.020158668,142,0,6,0,38,7
Benton County Sheriffs Office,BENTON,2018,38805.0,1843,47.5,602,15.51346476,2,0,44,420,2,9,0,125.0,911,23.47635614,5,1,113,14,228,2,6,542.0,330,8.504058755,269,0,8,0,41,12
Benton County Sheriffs Office,BENTON,2019,39795.0,1536,38.6,585,14.70033924,2,0,26,443,0,11,0,103.0,738,18.54504335,5,0,85,10,194,1,5,438.0,213,5.35243121,172,0,1,3,27,10
Benton County Sheriffs Office,BENTON,2020,40260.0,2059,51.1,674,16.74118231,1,0,33,488,0,14,0,138.0,1219,30.27819175,4,1,199,14,270,7,5,719.0,166,4.123199205,121,0,8,1,27,9
Benton County Sheriffs Office,BENTON,2021,40770.0,1517,37.2,541,13.26956095,2,0,43,377,3,8,0,108.0,889,21.80524896,6,0,101,3,244,1,4,530.0,87,2.133922001,55,0,6,0,21,5
COUNTY TOTAL,BENTON,2012,174226.0,11993,68.8,2742,15.7,1,3,207,2006,10,33,0,482.0,7507,43.1,34,0,851,112,2055,2,56,4397.0,1744,10,1529,0,18,3,194,0
COUNTY TOTAL,BENTON,2013,183400.0,11160,60.9,2765,15.1,7,2,179,2108,11,26,0,432.0,7320,39.9,27,2,839,127,1870,4,60,4391.0,1075,5.9,871,0,16,6,182,0
COUNTY TOTAL,BENTON,2014,186500.0,10964,58.8,2760,14.8,8,0,192,1970,7,31,0,552.0,7125,38.2,27,0,906,100,1585,2,59,4446.0,1079,5.8,844,0,23,11,201,0
COUNTY TOTAL,BENTON,2015,188683.0,10738,56.9,2815,14.9,3,0,201,1995,6,49,2,559.0,6872,36.4,38,0,750,111,1621,9,37,4306.0,1051,5.6,855,0,26,13,157,0
COUNTY TOTAL,BENTON,2016,190500.0,10870,57.1,2623,13.8,3,1,187,1850,15,34,2,531.0,7162,37.6,45,0,702,129,1687,6,54,4539.0,1085,5.7,877,1,26,13,168,0
COUNTY TOTAL,BENTON,2017,193509.0,11443,59.1,2919,15.1,1,0,240,2022,9,53,2,592.0,7260,37.5,33,0,733,103,1766,12,79,4534.0,1264,6.5,957,0,39,20,233,15
COUNTY TOTAL,BENTON,2018,197420.0,11864,60.1,3042,15.4,6,0,254,2141,6,35,7,593.0,7371,37.3,34,1,662,135,1735,15,61,4728.0,1451,7.3,1155,0,47,8,219,22
COUNTY TOTAL,BENTON,2019,201807.0,12428,61.6,3215,15.9,6,0,250,2344,9,39,2,565.0,7699,38.2,31,1,742,148,1771,13,67,4926.0,1514,7.5,1215,0,39,12,221,27
COUNTY TOTAL,BENTON,2020,205700.0,14456,70.3,3222,15.7,5,4,254,2224,5,52,0,678.0,10045,48.8,31,1,1097,124,2053,24,75,6640.0,1189,5.8,873,0,58,9,219,30
COUNTY TOTAL,BENTON,2021,209308.0,13023,62.2,3225,15.4,9,1,321,2219,9,41,1,624.0,9075,43.4,46,0,1016,140,1872,10,96,5895.0,723,3.5,506,5,37,4,160,11
Kennewick Police Department,BENTON,2012,75160.0,6333,84.3,1378,18.33422033,1,0,102,1037,3,18,0,217.0,4127,54.90952634,19,0,458,68,1163,1,37,2381.0,828,11.01649814,714,0,7,2,105,0
Kennewick Police Department,BENTON,2013,76410.0,5975,78.2,1393,18.23059809,2,0,93,1039,7,13,0,239.0,4064,53.18675566,18,0,439,77,1005,4,43,2478.0,518,6.77921738,401,0,9,6,102,0
Kennewick Police Department,BENTON,2014,77700.0,5803,74.7,1470,18.91891892,4,0,102,1026,1,15,0,322.0,3780,48.64864865,13,0,468,66,801,2,41,2389.0,553,7.117117117,424,0,8,10,111,0
Kennewick Police Department,BENTON,2015,78374.0,5430,69.3,1349,17.2123408,3,0,107,956,5,22,1,255.0,3536,45.1170031,29,0,353,62,801,6,24,2261.0,545,6.9538367,430,0,16,8,91,0
Kennewick Police Department,BENTON,2016,79120.0,5570,70.4,1317,16.64560162,1,0,103,904,12,20,0,277.0,3725,47.08038423,31,0,296,84,868,5,37,2404.0,528,6.673407482,427,0,9,3,89,0
Kennewick Police Department,BENTON,2017,80280.0,5767,71.8,1329,16.55455904,1,0,126,887,4,28,0,283.0,3788,47.18485301,25,0,309,63,935,6,60,2390.0,650,8.096661684,502,0,18,6,121,3
Kennewick Police Department,BENTON,2018,81850.0,5825,71.2,1368,16.71350031,3,0,155,948,1,12,4,245.0,3773,46.09651802,21,0,294,78,932,6,36,2406.0,684,8.356750153,546,0,22,4,108,4
Kennewick Police Department,BENTON,2019,83670.0,6638,79.3,1566,18.7163858,2,0,160,1122,7,12,2,261.0,4346,51.9421537,12,0,392,70,982,6,50,2834.0,726,8.676945142,566,0,19,5,125,11
Kennewick Police Department,BENTON,2020,84960.0,6952,81.8,1333,15.68973635,1,0,134,886,3,14,0,295.0,5071,59.68691149,20,0,532,70,1127,1,47,3274.0,548,6.450094162,383,0,24,6,126,9
Kennewick Police Department,BENTON,2021,85940.0,6684,77.8,1494,17.38422155,6,0,152,1052,3,13,0,268.0,4778,55.59692809,30,0,519,84,911,4,64,3166.0,412,4.794042355,295,4,22,3,85,3
Prosser Police Department,BENTON,2013,5810.0,272,46.8,46,7.917383821,0,0,4,40,1,0,0,1.0,196,33.73493976,1,1,17,2,69,0,0,106.0,30,5.163511188,29,0,0,0,1,0
Prosser Police Department,BENTON,2014,5815.0,322,55.4,82,14.10146174,0,0,3,74,0,0,0,5.0,204,35.0816853,0,0,24,2,48,0,1,129.0,36,6.190885641,33,0,0,0,3,0
Prosser Police Department,BENTON,2015,5845.0,318,54.4,89,15.2266895,0,0,3,65,1,1,0,19.0,179,30.6244654,0,0,18,3,52,0,1,105.0,50,8.5543199,42,0,1,0,7,0
Prosser Police Department,BENTON,2016,5940.0,310,52.2,94,15.82491582,0,0,2,74,0,1,1,16.0,172,28.95622896,2,0,24,2,36,0,0,108.0,44,7.407407407,38,0,1,0,5,0
Prosser Police Department,BENTON,2017,5969.0,433,72.5,117,19.60127325,0,0,8,90,0,4,0,15.0,245,41.04540124,0,0,42,0,76,0,1,126.0,71,11.89478975,63,0,0,0,8,0
Prosser Police Department,BENTON,2018,6125.0,480,78.4,91,14.85714286,0,0,3,77,0,0,0,11.0,296,48.32653061,0,0,52,3,92,0,0,149.0,93,15.18367347,84,0,0,1,8,0
Prosser Police Department,BENTON,2019,6152.0,465,75.6,99,16.0923277,0,0,2,75,0,1,0,21.0,242,39.33680104,2,0,38,9,80,0,2,111.0,124,20.15604681,117,0,1,0,6,0
Prosser Police Department,BENTON,2020,6220.0,400,64.3,82,13.18327974,0,1,2,53,0,1,0,25.0,242,38.90675241,1,0,19,10,51,0,3,158.0,76,12.21864952,68,0,2,0,4,2
Prosser Police Department,BENTON,2021,6310.0,332,52.6,80,12.67828843,0,0,7,51,0,1,0,21.0,227,35.97464342,0,0,20,8,68,0,2,129.0,25,3.961965135,18,0,0,0,6,1
Richland Police Department,BENTON,2012,49901.0,3414,68.4,696,13.94761628,0,0,52,505,2,6,0,131.0,2175,43.58630088,10,0,192,33,564,1,13,1362.0,543,10.88154546,489,0,7,1,46,0
Richland Police Department,BENTON,2013,51150.0,2807,54.9,616,12.04301075,3,0,41,475,0,5,0,92.0,1932,37.771261,5,0,199,34,480,0,11,1203.0,259,5.063538612,210,0,6,0,43,0
Richland Police Department,BENTON,2014,52090.0,2868,55.1,645,12.38241505,0,0,52,454,1,10,0,128.0,1958,37.58878864,7,0,172,26,455,0,13,1285.0,265,5.087348819,194,0,10,1,60,0
Richland Police Department,BENTON,2015,53089.0,2954,55.6,621,11.6973384,0,0,40,422,0,15,0,144.0,2117,39.8764339,6,0,236,35,459,1,6,1374.0,216,4.0686395,175,0,5,4,32,0
Richland Police Department,BENTON,2016,53410.0,2958,55.4,592,11.08406665,1,0,39,419,1,5,1,126.0,2099,39.2997566,6,0,178,31,447,1,11,1425.0,267,4.999063846,201,1,10,9,46,0
Richland Police Department,BENTON,2017,54155.0,3112,57.5,750,13.84913674,0,0,69,514,3,16,1,147.0,2043,37.72504847,5,0,186,25,375,4,14,1434.0,319,5.890499492,224,0,15,14,64,2
Richland Police Department,BENTON,2018,55320.0,3269,59.1,848,15.32899494,0,0,47,604,1,12,3,181.0,2135,38.59363702,7,0,182,38,400,6,18,1484.0,286,5.169920463,212,0,15,3,51,5
Richland Police Department,BENTON,2019,56850.0,3283,57.7,821,14.44151275,2,0,51,598,2,12,0,156.0,2077,36.53474055,10,0,203,44,411,4,9,1396.0,385,6.772207564,306,0,17,4,54,4
Richland Police Department,BENTON,2020,58550.0,4341,74.1,991,16.92570453,3,3,78,699,1,23,0,184.0,2995,51.1528608,5,0,285,29,510,16,20,2130.0,355,6.063193851,267,0,20,2,58,8
Richland Police Department,BENTON,2021,59578.0,3995,67.1,947,15.89512907,1,1,105,630,3,18,1,188.0,2863,48.05465105,8,0,333,42,541,5,24,1910.0,185,3.10517305,127,1,9,1,45,2
West Richland Police Department,BENTON,2012,12570.0,489,38.9,147,11.69451074,0,0,11,100,2,3,0,31.0,291,23.150358,1,0,42,2,100,0,1,145.0,51,4.057279236,42,0,0,0,9,0
West Richland Police Department,BENTON,2013,13080.0,404,30.9,121,9.250764526,0,0,16,83,0,4,0,18.0,261,19.95412844,1,0,34,4,75,0,1,146.0,22,1.681957187,17,0,0,0,5,0
West Richland Police Department,BENTON,2014,13620.0,542,39.8,111,8.149779736,0,0,7,82,1,3,0,18.0,399,29.29515419,0,0,56,1,95,0,0,247.0,32,2.34948605,24,0,1,0,7,0
West Richland Police Department,BENTON,2015,13960.0,479,34.3,143,10.243553,0,0,13,94,0,2,0,34.0,309,22.1346705,1,0,31,3,98,0,1,175.0,27,1.9340974,21,0,0,0,6,0
West Richland Police Department,BENTON,2016,14340.0,444,31.0,145,10.11157601,0,0,8,99,1,3,0,34.0,267,18.61924686,0,0,32,4,87,0,0,144.0,32,2.231520223,27,0,1,0,4,0
