Location,county,IndexYear,Population,Total,Rate,PrsnTotal,PrsnRate,Murder,Manslaughter,Forcible_Sex,Assault,Non_Forcible_Sex,Kidnapping_Abduction,Human_Trafficking,Viol_Of_No_Contact,PrprtyTotal,PrprtyRate,Arson,Bribery,Burglary,Counterfeiting_Forgery,Destruction_of_Property,Extortion_Blackmail,Robbery,Theft,SctyTotal,SctyRate,Drug_Violations,Gambling_Violations,Pornography,Prostitution,Weapon_Law_Violation,Animal_Cruelty
South Bend Police Department,PACIFIC,2015,1620.0,19,11.7,10,6.1728395,0,0,1,9,0,0,0,0.0,8,4.9382716,0,0,1,0,2,0,1,4.0,1,0.617284,1,0,0,0,0,0
South Bend Police Department,PACIFIC,2016,1620.0,26,16.0,17,10.49382716,0,0,1,12,0,0,0,4.0,9,5.555555556,0,0,3,0,3,0,0,3.0,0,0,0,0,0,0,0,0
South Bend Police Department,PACIFIC,2017,1620.0,25,15.4,15,9.259259259,0,0,2,11,1,0,0,1.0,6,3.703703704,0,0,2,0,2,0,0,2.0,4,2.469135802,4,0,0,0,0,0
South Bend Police Department,PACIFIC,2018,1625.0,15,9.2,11,6.769230769,0,0,0,10,0,0,0,1.0,4,2.461538462,0,0,0,0,2,0,0,2.0,0,0,0,0,0,0,0,0
South Bend Police Department,PACIFIC,2019,1625.0,19,11.7,14,8.615384615,0,0,2,11,0,0,0,1.0,3,1.846153846,0,0,0,0,0,0,0,3.0,2,1.230769231,2,0,0,0,0,0
South Bend Police Department,PACIFIC,2020,1645.0,39,23.7,22,13.37386018,0,0,2,18,0,0,0,2.0,13,7.902735562,0,0,1,0,5,0,0,7.0,4,2.431610942,4,0,0,0,0,0
South Bend Police Department,PACIFIC,2021,1660.0,15,9.0,6,3.614457831,0,0,2,4,0,0,0,0.0,8,4.819277108,0,0,2,0,3,0,1,2.0,1,0.602409639,1,0,0,0,0,0
COUNTY TOTAL,PEND OREILLE,2012,12925.0,1017,78.7,302,23.4,3,0,9,224,0,1,0,65.0,626,48.4,0,0,142,2,129,0,1,352.0,89,6.9,66,0,0,0,23,0
COUNTY TOTAL,PEND OREILLE,2013,13150.0,1073,81.6,299,22.7,1,1,8,218,0,0,0,71.0,660,50.2,2,0,142,2,149,0,0,365.0,114,8.7,81,0,3,0,30,0
COUNTY TOTAL,PEND OREILLE,2014,13210.0,885,67.0,269,20.4,0,0,14,203,0,1,0,51.0,509,38.5,2,0,135,0,87,0,1,284.0,107,8.1,81,0,1,0,25,0
COUNTY TOTAL,PEND OREILLE,2015,13240.0,732,55.3,234,17.7,0,0,15,188,0,0,0,31.0,412,31.1,1,0,108,0,76,0,1,226.0,86,6.5,63,0,2,0,21,0
COUNTY TOTAL,PEND OREILLE,2016,13290.0,667,50.2,219,16.5,0,0,14,174,1,1,0,29.0,336,25.3,2,0,72,1,36,0,1,224.0,112,8.4,82,0,0,0,30,0
COUNTY TOTAL,PEND OREILLE,2017,13370.0,606,45.3,190,14.2,0,0,13,147,3,0,0,27.0,354,26.5,3,0,84,3,56,0,0,208.0,62,4.6,50,0,0,0,12,0
COUNTY TOTAL,PEND OREILLE,2018,13540.0,458,33.8,156,11.5,1,0,18,100,0,0,0,37.0,240,17.7,0,0,68,1,37,0,0,134.0,62,4.6,48,0,2,0,12,0
COUNTY TOTAL,PEND OREILLE,2019,13740.0,504,36.7,168,12.2,0,1,13,121,0,1,0,32.0,285,20.7,0,0,38,3,62,0,1,181.0,51,3.7,37,0,2,0,12,0
COUNTY TOTAL,PEND OREILLE,2020,13850.0,512,37.0,203,14.7,2,0,21,133,0,3,0,44.0,267,19.3,0,0,42,2,41,0,0,182.0,42,3,15,0,1,0,26,0
COUNTY TOTAL,PEND OREILLE,2021,14000.0,511,36.5,203,14.5,0,0,9,143,0,0,0,51.0,287,20.5,3,0,46,1,49,0,0,188.0,21,1.5,7,0,2,0,12,0
Newport Police Department,PEND OREILLE,2019,2190.0,80,36.5,14,6.392694064,0,0,0,12,0,0,0,2.0,62,28.31050228,0,0,0,1,11,0,1,49.0,4,1.826484018,2,0,0,0,2,0
